# CGHS rates for treatment at healthcare organisations, Tier I (X) cities, semi private ward.
# Source: Office Memorandum F.No.5-16/CGHS(HQ)/HEC/2024(PartI) dated 03.10.2025, Annexure I (A),
#         effective 13.10.2025, as published by the Directorate General of Health Services, Delhi:
#         https://dgehs.delhi.gov.in/sites/default/files/inline-files/cghs_rate.pdf
# Source file SHA-256: 964b42f58eb0852d93293a658a183cceaafae33ba30a892979262c21695b9746
# Extracted 2026-09-25: 1998 rows, serial numbers 1 to 1998 without gaps, every rate cross checked
# against the source text. Delhi is a Tier I (X) city. Rates in rupees.
sr,code,name,speciality,non_nabh,nabh,super_speciality
25,LB022,Bone Marrow Smear Examination,Laboratory Investigation,298,350,350
26,LB023,Bone Marrow Smear Examination with Iron Stain,Laboratory Investigation,680,800,800
27,LB024,Bone Marrow Smear Examination and Cytochemistry,Laboratory Investigation,10200,12000,12000
28,LB025,Activated Partial Thromboplastin Time (APTT),Laboratory Investigation,247,290,290
29,LB026,Rapid Test for Malaria (Card Test)/QBC Malaria Test,Laboratory Investigation,85,100,100
30,LB027,"Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)",Laboratory Investigation,680,800,800
31,LB028,Factor Assays-Factor VIII,Laboratory Investigation,1275,1500,1500
32,LB029,Factor Assays-Factor IX,Laboratory Investigation,1275,1500,1500
33,LB030,Platelet Function Tests,Laboratory Investigation,1075,1265,1265
34,LB031,"Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin",Laboratory Investigation,2873,3380,3380
35,LB032,Tests for Lupus Anticoagulant,Laboratory Investigation,1105,1300,1300
36,LB033,"Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)",Laboratory Investigation,850,1000,1000
37,LB034,Thalassemia Studies (Red Cell Indices and Hb HPLC),Laboratory Investigation,850,1000,1000
38,LB035,Tests for Sickling / Hb HPLC),Laboratory Investigation,850,1000,1000
39,LB036,Blood Group & Rh Type,Laboratory Investigation,77,90,90
40,LB037,Cross Match,Laboratory Investigation,170,200,200
41,LB038,Coomb's Test - Direct,Laboratory Investigation,170,200,200
42,LB039,Coomb's Test - Indirect,Laboratory Investigation,213,250,250
43,LB040,3 Cell Panel- Antibody Screening for Pregnant Female,Laboratory Investigation,893,1050,1050
44,LB041,11 Cells Panel for Antibody Identification,Laboratory Investigation,1942,2285,2285
45,LB042,Hepatitis B Surface Antigen (HBsAg),Laboratory Investigation,255,300,300
46,LB043,Hepatitis C Virus (HCV),Laboratory Investigation,425,500,500
47,LB044,Human Immunodeficiency Virus- HIV I and II,Laboratory Investigation,327,385,385
48,LB045,Venereal Disease Research Laboratory Test (VDRL),Laboratory Investigation,85,100,100
49,LB046,Rh Antibody Titre,Laboratory Investigation,255,300,300
50,LB047,CGHS rates for Platelet Concentrate Test,Laboratory Investigation,850,1000,1000
51,LB048,Routine - H & E,Laboratory Investigation,463,545,545
52,LB049,Special Stain,Laboratory Investigation,170,200,200
53,LB050,Histopathology Examination (HPE) - Frozen Section,Laboratory Investigation,1275,1500,1500
54,LB051,Histopathology Examination (HPE) - Paraffin Section,Laboratory Investigation,425,500,500
55,LB052,Pap Smear,Laboratory Investigation,340,400,400
56,LB053,Body Fluid for Malignant cells,Laboratory Investigation,298,350,350
57,LB054,"Paroxysmal Nocturnal Haemoglobinuria (PNH) Panel- CD55, CD59",Laboratory Investigation,1275,1500,1500
58,LB055,Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP,Laboratory Investigation,34,40,40
59,LB056,"24 Hrs Urine for Proteins, Sodium, Creatinine",Laboratory Investigation,255,300,300
60,LB057,Blood Urea Nitrogen (BUN) / Urea,Laboratory Investigation,85,100,100
61,LB058,Serum Creatinine,Laboratory Investigation,85,100,100
62,LB059,Urine Bile Pigment and Salt,Laboratory Investigation,60,70,70
63,LB060,Urine Urobilinogen,Laboratory Investigation,60,70,70
64,LB061,Urine Ketones,Laboratory Investigation,60,70,70
65,LB062,Urine Occult Blood,Laboratory Investigation,60,70,70
66,LB063,Urine Total Proteins,Laboratory Investigation,60,70,70
67,LB064,Rheumatoid Factor / Rh Factor Test,Laboratory Investigation,638,750,750
68,LB065,Bence Jones Protein,Laboratory Investigation,85,100,100
69,LB066,Serum Uric Acid,Laboratory Investigation,128,150,150
70,LB067,Serum Bilirubin total & direct,Laboratory Investigation,128,150,150
71,LB068,Serum Iron,Laboratory Investigation,213,250,250
72,LB069,C-Reactive Protein (CRP),Laboratory Investigation,213,250,250
73,LB070,C-Reactive Protein (CRP) Quantitative,Laboratory Investigation,255,300,300
74,LB071,"Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.",Laboratory Investigation,255,300,300
75,LB072,Albumin,Laboratory Investigation,43,50,50
76,LB073,Creatinine Clearance,Laboratory Investigation,170,200,200
77,LB074,Serum Cholesterol,Laboratory Investigation,128,150,150
78,LB075,Total Iron Binding Capacity (TIBC),Laboratory Investigation,255,300,300
79,LB076,Glucose (Fasting & PP),Laboratory Investigation,68,80,80
80,LB077,Serum Calcium -Total,Laboratory Investigation,128,150,150
81,LB078,Serum Calcium - Ionic,Laboratory Investigation,510,600,600
82,LB079,Serum Phosphorus,Laboratory Investigation,128,150,150
83,LB080,Total Protein Albumin/Globulin Ratio (A/G Ratio),Laboratory Investigation,60,70,70
84,LB081,Immunoglobulin G (IgG),Laboratory Investigation,340,400,400
85,LB082,Immunoglobulin M(IgM),Laboratory Investigation,340,400,400
86,LB083,Immunoglobulin A(IgA),Laboratory Investigation,340,400,400
87,LB084,Antinuclear Antibody (ANA),Laboratory Investigation,557,655,655
88,LB085,Anti-double stranded DNA (anti-dsDNA),Laboratory Investigation,680,800,800
89,LB086,Serum Glutamic Pyruvic Transaminase (SGPT) / Alanine Aminotransferase (ALT),Laboratory Investigation,85,100,100
90,LB087,Serum Glutamic Oxaloacetic Transaminase (SGOT) /Aspartate Aminotransferase (AST),Laboratory Investigation,85,100,100
91,LB088,Serum Amylase,Laboratory Investigation,255,300,300
92,LB089,Serum Lipase,Laboratory Investigation,340,400,400
93,LB090,Serum Lactate,Laboratory Investigation,425,500,500
94,LB091,Serum Magnesium,Laboratory Investigation,255,300,300
95,LB092,Serum Sodium,Laboratory Investigation,102,120,120
96,LB093,Serum Potassium,Laboratory Investigation,102,120,120
97,LB094,Chloride,Laboratory Investigation,128,150,150
98,LB095,Serum Bicarbonate,Laboratory Investigation,170,200,200
99,LB096,Serum Ammonia,Laboratory Investigation,570,670,670
100,LB097,"Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)",Laboratory Investigation,1122,1320,1320
101,LB098,Serum Testosterone,Laboratory Investigation,340,400,400
102,LB099,Imprint Smear from Endoscopy,Laboratory Investigation,850,1000,1000
103,LB100,Triglycerides,Laboratory Investigation,128,150,150
104,LB101,Glucose Tolerance Test (GTT),Laboratory Investigation,255,300,300
105,LB102,"Triple Marker Test (AFP,HCG,UE3)",Laboratory Investigation,1275,1500,1500
106,LB103,Creatine Phosphokinase (CPK)/Creatine Kinase (CK),Laboratory Investigation,196,230,230
107,LB104,Foetal Haemoglobin (HbF),Laboratory Investigation,425,500,500
108,LB105,Prothrombin Time (PT)/ International normalized ratio (INR),Laboratory Investigation,213,250,250
109,LB106,Lactate dehydrogenase (LDH),Laboratory Investigation,187,220,220
110,LB107,Alkaline Phosphatase,Laboratory Investigation,128,150,150
111,LB108,Acid Phosphatase,Laboratory Investigation,128,150,150
112,LB109,CPK MB/CK MB,Laboratory Investigation,306,360,360
113,LB110,CK MB Mass/CPK MB Mass,Laboratory Investigation,306,360,360
114,LB111,Troponin I,Laboratory Investigation,595,700,700
115,LB112,Troponin T,Laboratory Investigation,595,700,700
116,LB113,Glucose-6-Phosphate Dehydrogenase (G6PD),Laboratory Investigation,255,300,300
117,LB114,Lithium,Laboratory Investigation,298,350,350
118,LB115,Dilantin (Phenytoin),Laboratory Investigation,510,600,600
119,LB116,Carbamazepine.,Laboratory Investigation,595,700,700
120,LB117,Cyclosporine,Laboratory Investigation,2125,2500,2500
121,LB118,Valproic acid.,Laboratory Investigation,510,600,600
122,LB119,Blood gas analysis / Arterial Blood Gas (ABG),Laboratory Investigation,476,560,560
123,LB120,Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes,Laboratory Investigation,680,800,800
124,LB121,Urine Pregnancy Test(UPT),Laboratory Investigation,85,100,100
125,LB122,Glycosylated Haemoglobin (HbA1c),Laboratory Investigation,255,300,300
126,LB123,"Kidney Function Test (KFT)- (Sr.Creatinine,Blood Urea,BUN,Sr.Uric Acid,Sr.Sodium,Sr.Potassium,Urine R/E)",Laboratory Investigation,425,500,500
127,LB124,Liver Function Test (LFT),Laboratory Investigation,425,500,500
128,LB125,"Lipid Profile (Total cholesterol ,Triglycerides, LDL, HDL,VLDL)",Laboratory Investigation,417,490,490
129,LB126,Serum Ferritin,Laboratory Investigation,298,350,350
130,LB127,Vitamin B12 Assay.,Laboratory Investigation,510,600,600
131,LB128,Folic Acid Assay.,Laboratory Investigation,553,650,650
132,LB129,"Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1, Apo B,Lp (a) )",Laboratory Investigation,850,1000,1000
133,LB130,Apolipoprotein A1 (ApoA1),Laboratory Investigation,340,400,400
134,LB131,Apolipoprotein B (Apo B),Laboratory Investigation,340,400,400
135,LB132,Lipoprotein A / Lp A,Laboratory Investigation,340,400,400
136,LB133,"CD 3,4 and 8 Counts",Laboratory Investigation,1054,1240,1240
137,LB134,"CD 3,4 and 8 Percentage",Laboratory Investigation,1284,1510,1510
138,LB135,Low Density Lipoprotein (LDL),Laboratory Investigation,128,150,150
139,LB136,Homocysteine,Laboratory Investigation,553,650,650
140,LB137,Serum Electrophoresis,Laboratory Investigation,595,700,700
141,LB138,Fibrinogen,Laboratory Investigation,425,500,500
142,LB139,Gamma-Glutamyl Transpeptidase (GGTP),Laboratory Investigation,128,150,150
143,LB140,Fructosamine,Laboratory Investigation,425,500,500
144,LB141,Beta 2 microglobulin (B2M) /2 microglobulin,Laboratory Investigation,510,600,600
145,LB142,Prostate Specific Antigen (PSA)- Total,Laboratory Investigation,404,475,475
146,LB143,Prostate-Specific Antigen (PSA) - Free,Laboratory Investigation,680,800,800
147,LB144,Alpha Fetoprotein (AFP),Laboratory Investigation,468,550,550
148,LB145,Human Chorionic Gonadotropin (HCG)/ Beta HCG,Laboratory Investigation,383,450,450
149,LB146,Cancer Antigen 125 (CA 125),Laboratory Investigation,680,800,800
150,LB147,Cancer Antigen 19.9 (CA 19.9),Laboratory Investigation,680,800,800
151,LB148,Cancer Antigen 15.3 (CA 15.3),Laboratory Investigation,680,800,800
152,LB149,Vanillylmandelic Acid (VMA),Laboratory Investigation,1360,1600,1600
153,LB150,Calcitonin,Laboratory Investigation,1020,1200,1200
154,LB151,Carcinoembryonic Antigen (CEA),Laboratory Investigation,510,600,600
155,LB152,Direct Immunofluorescence (Skin and Kidney Disease etc),Laboratory Investigation,1020,1200,1200
156,LB153,Indirect (anti ds DNA Anti Smith ANCA),Laboratory Investigation,1020,1200,1200
157,LB154,Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3),Laboratory Investigation,850,1000,1000
158,LB155,Serum Protein electrophoresis with immunofixation electrophoresis (IFE),Laboratory Investigation,595,700,700
159,LB156,Anti-Cyclic Citrullinated Peptide (Anti CCP),Laboratory Investigation,765,900,900
160,LB157,Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA),Laboratory Investigation,680,800,800
161,LB158,Serum Erythropoietin,Laboratory Investigation,1020,1200,1200
162,LB159,Adrenocorticotropic Hormone (ACTH),Laboratory Investigation,1020,1200,1200
163,LB160,"T3, T4, TSH -Thyroid Function Test (TFT)",Laboratory Investigation,383,450,450
164,LB161,Thyroid stimulating hormone (TSH),Laboratory Investigation,170,200,200
165,LB162,Luteinizing hormone (LH),Laboratory Investigation,340,400,400
166,LB163,Follicle stimulating hormone (FSH),Laboratory Investigation,340,400,400
167,LB164,Prolactin,Laboratory Investigation,340,400,400
168,LB165,Cortisol,Laboratory Investigation,468,550,550
169,LB166,PTH(Parathormone),Laboratory Investigation,850,1000,1000
170,LB167,C-Peptide (Connecting Peptide),Laboratory Investigation,638,750,750
171,LB168,Insulin,Laboratory Investigation,425,500,500
172,LB169,Progesterone,Laboratory Investigation,340,400,400
173,LB170,17 Hydroxyprogesterone (17 OH Progesterone),Laboratory Investigation,638,750,750
174,LB171,Dehydroepiandrosterone sulfate (DHEAS),Laboratory Investigation,850,1000,1000
175,LB172,Androstenedione,Laboratory Investigation,850,1000,1000
176,LB173,Growth Hormone,Laboratory Investigation,510,600,600
177,LB174,Thyroid peroxidase antibody (TPO),Laboratory Investigation,595,700,700
178,LB175,Thyroglobulin.,Laboratory Investigation,595,700,700
179,LB176,Hydatid Serology,Laboratory Investigation,697,820,820
180,LB177,Anti Sperm Antibodies.,Laboratory Investigation,765,900,900
181,LB178,Hepatitis B Virus (HBV) DNA Qualitative,Laboratory Investigation,2125,2500,2500
182,LB179,Hepatitis B Virus (HBV) DNA Quantitative.,Laboratory Investigation,2975,3500,3500
183,LB180,Hepatitis C Virus (HCV) RNA Qualitative.,Laboratory Investigation,2550,3000,3000
184,LB181,Human papillomavirus (HPV) Serology,Laboratory Investigation,1360,1600,1600
185,LB182,Rota Virus serology,Laboratory Investigation,340,400,400
186,LB183,Mantoux Test,Laboratory Investigation,170,200,200
187,LB184,ADA( Adenosine deaminase),Laboratory Investigation,553,650,650
188,LB185,GeneXpert Test (Tuberculosis),Laboratory Investigation,880,1035,1035
189,LB186,QuantiFERON TB Gold,Laboratory Investigation,2125,2500,2500
190,LB187,PCR for Tuberculosis (TB),Laboratory Investigation,1020,1200,1200
191,LB188,PCR for Human immunodeficiency virus (HIV),Laboratory Investigation,1530,1800,1800
192,LB189,Chlamydia antigen,Laboratory Investigation,850,1000,1000
193,LB190,Chlamydia antibody,Laboratory Investigation,723,850,850
194,LB191,Brucella serology,Laboratory Investigation,383,450,450
195,LB192,Influenza A serology,Laboratory Investigation,850,1000,1000
196,LB193,Acetylcholine receptor (AChR) antibody titre,Laboratory Investigation,3825,4500,4500
197,LB194,Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre,Laboratory Investigation,5695,6700,6700
198,LB195,Serum Copper,Laboratory Investigation,553,650,650
199,LB196,Serum Ceruloplasmin,Laboratory Investigation,553,650,650
200,LB197,Urinary copper,Laboratory Investigation,714,840,840
201,LB198,Serum phenobarbitone level,Laboratory Investigation,510,600,600
202,LB199,Coagulation profile,Laboratory Investigation,638,750,750
203,LB200,D-Dimer,Laboratory Investigation,425,500,500
204,LB201,"CSF/Any Body Fluid for Basic studies including cell count, protein, sugar, gram stain, India Ink preparation and smear for AFB",Laboratory Investigation,298,350,350
205,LB202,PCR for Herpes simplex,Laboratory Investigation,1190,1400,1400
206,LB203,Bacterial culture and sensitivity - Aerobic,Laboratory Investigation,391,460,460
207,LB204,Bacterial culture and sensitivity - Anaerobic,Laboratory Investigation,595,700,700
208,LB205,Mycobacterial culture and sensitivity,Laboratory Investigation,468,550,550
209,LB206,Fungal culture,Laboratory Investigation,421,495,495
210,LB207,Anti measles antibody titre (with serum antibody titre),Laboratory Investigation,1020,1200,1200
211,LB208,Viral culture,Laboratory Investigation,510,600,600
212,LB209,"Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)",Laboratory Investigation,1785,2100,2100
213,LB210,Oligoclonal bands (OCBs),Laboratory Investigation,1913,2250,2250
214,LB211,Myelin basic protein (MBP),Laboratory Investigation,2975,3500,3500
215,LB212,Cryptococcal antigen,Laboratory Investigation,1275,1500,1500
216,LB213,D Xylose test,Laboratory Investigation,935,1100,1100
217,LB214,Faecal / Faecal fat test/ faecal chymotrypsin/ faecal elastase,Laboratory Investigation,850,1000,1000
218,LB215,H pylori serology for Coeliac disease /Celiac disease,Laboratory Investigation,1020,1200,1200
219,LB216,HBV genotyping,Laboratory Investigation,2444,2875,2875
220,LB217,HCV genotyping,Laboratory Investigation,4765,5606,5606
221,LB218,Urinary Vanillylmandelic Acid (VMA),Laboratory Investigation,1857,2185,2185
222,LB219,Urinary metanephrine/Normetanephrine,Laboratory Investigation,2465,2900,2900
223,LB220,Urinary free catecholamine,Laboratory Investigation,2125,2500,2500
224,LB221,Serum aldosterone,Laboratory Investigation,1530,1800,1800
225,LB222,24 Hr urinary aldosterone,Laboratory Investigation,1275,1500,1500
226,LB223,Plasma renin activity,Laboratory Investigation,1360,1600,1600
227,LB224,Serum aldosterone/renin ratio,Laboratory Investigation,1275,1500,1500
228,LB225,Osmolality urine,Laboratory Investigation,383,450,450
229,LB226,Osmolality serum,Laboratory Investigation,383,450,450
230,LB227,Urinary sodium,Laboratory Investigation,128,150,150
231,LB228,Urinary Chloride,Laboratory Investigation,128,150,150
232,LB229,Urinary potassium,Laboratory Investigation,128,150,150
233,LB230,Urinary calcium,Laboratory Investigation,128,150,150
234,LB231,Thyroid binding globulin,Laboratory Investigation,935,1100,1100
235,LB232,24-hour urinary free cortisol,Laboratory Investigation,638,750,750
236,LB233,Islet cell antibody,Laboratory Investigation,1020,1200,1200
237,LB234,Glutamic Acid Decarboxylase Autoantibodies test (GAD antibodies),Laboratory Investigation,1700,2000,2000
238,LB235,Insulin associated antibody,Laboratory Investigation,833,980,980
239,LB236,Insulin-like growth factor-1 (IGF-1),Laboratory Investigation,1870,2200,2200
240,LB237,Insulin-like growth factor binding protein 3 (IGF- BP3),Laboratory Investigation,1955,2300,2300
241,LB238,Sex hormone binding globulin,Laboratory Investigation,1309,1540,1540
242,LB239,Estradiol (E2),Laboratory Investigation,340,400,400
243,LB240,Thyroglobulin antibody,Laboratory Investigation,595,700,700
244,LB241,"Kappa Lambda Light Chains, Free, Serum/ Serum free light chains (SFLC)",Laboratory Investigation,3421,4025,4025
245,LB242,Serum IgE Level,Laboratory Investigation,323,380,380
246,LB243,N-terminal pro BNP (NT-pro BNP / Brain natriuretic peptide (BNP),Laboratory Investigation,1760,2070,2070
247,LB244,HCV RNA Quantitative,Laboratory Investigation,1568,1845,1845
248,LB245,Tacrolimus Level,Laboratory Investigation,2248,2645,2645
249,LB246,"Protein Creatinine Ratio (PCR), Urine / Albumin Creatinine Ratio (ACR), Urine",Laboratory Investigation,129,152,152
250,LB247,HLA B27 (PCR),Laboratory Investigation,489,575,575
251,LB248,Procalcitonin,Laboratory Investigation,1760,2070,2070
252,LB249,TORCH Test,Laboratory Investigation,1095,1288,1288
253,LB250,Anti -Smooth Muscle Antibody Test (ASMA),Laboratory Investigation,1241,1460,1460
254,LB251,C ANCA-IFA,Laboratory Investigation,1275,1500,1500
255,LB252,P ANCA-IFA,Laboratory Investigation,1275,1500,1500
256,LB253,Angiotensin converting enzyme (ACE),Laboratory Investigation,850,1000,1000
257,LB254,Extractable Nuclear Antigens (ENA) - Quantitative,Laboratory Investigation,3910,4600,4600
258,LB255,Chromogranin A,Laboratory Investigation,4250,5000,5000
259,LB256,Faecal calprotectin,Laboratory Investigation,2321,2730,2730
260,LB257,C3-COMPLEMENT,Laboratory Investigation,553,650,650
261,LB258,C4-COMPLEMENT,Laboratory Investigation,553,650,650
262,LB259,H1N1 (RT-PCR),Laboratory Investigation,921,1084,1084
263,LB260,Anti HEV IgM,Laboratory Investigation,850,1000,1000
264,LB261,Anti HAV IgM,Laboratory Investigation,638,750,750
265,LB262,HBsAg Quantitative,Laboratory Investigation,553,650,650
266,LB263,Typhidot IgM,Laboratory Investigation,340,400,400
267,LB264,Hepatitis B Core Antibody (HBcAb) Level (Hepatitis B Core IgM Antibody),Laboratory Investigation,408,480,480
268,LB265,Hepatitis B surface antibody (anti HBs),Laboratory Investigation,553,650,650
269,LB266,Free Triiodothyronine (FT3),Laboratory Investigation,106,125,125
270,LB267,Free Thyroxine (FT4),Laboratory Investigation,106,125,125
271,LB268,Widal Test,Laboratory Investigation,60,70,70
272,LB269,Dengue NS1 Ag,Laboratory Investigation,340,400,400
273,LB270,Dengue IgM and Ig G,Laboratory Investigation,680,800,800
274,LB271,Interleukin 6 (IL 6),Laboratory Investigation,1360,1600,1600
275,LB272,Covid Antibody Test,Laboratory Investigation,595,700,700
276,LB273,Cryoglobulins,Laboratory Investigation,850,1000,1000
277,LB274,Cytogenetics,Laboratory Investigation,4250,5000,5000
278,LB275,Plasma Free Normetanephrine,Laboratory Investigation,1955,2300,2300
279,LB276,Plasma Metanephrines,Laboratory Investigation,1955,2300,2300
280,LB277,PLA2 receptor antibody quantitative,Laboratory Investigation,3570,4200,4200
281,LB278,Allergic Bronchopulmonary Aspergillosis (ABPA) Panel,Laboratory Investigation,2465,2900,2900
282,LB279,Allergy Food Screening Panel,Laboratory Investigation,5100,6000,6000
283,LB280,AMA (Anti Mitochondrial Antibody),Laboratory Investigation,850,1000,1000
284,LB281,AMH (Anti- Mullerian Hormone),Laboratory Investigation,850,1000,1000
285,LB282,ANA BLOT,Laboratory Investigation,2550,3000,3000
286,LB283,ANA Profile,Laboratory Investigation,2550,3000,3000
287,LB284,Anti GBM (Glomerular Basement Membrane) Antibody,Laboratory Investigation,1275,1500,1500
288,LB285,Anti LKM (Liver Kidney Microsome) Ab,Laboratory Investigation,1275,1500,1500
289,LB286,Anti Parietal Cell Antibodies,Laboratory Investigation,1700,2000,2000
290,LB287,Anti Intrinsic Factor Antibodies,Laboratory Investigation,1700,2000,2000
291,LB288,ASO Titre /ASLO Titre,Laboratory Investigation,459,540,540
292,LB289,Aspergillus Fumigatus Specific IgE,Laboratory Investigation,1318,1550,1550
293,LB290,Autoimmune Encephalitis Panel,Laboratory Investigation,14450,17000,17000
294,LB291,Autoimmune Hepatitis Profile,Laboratory Investigation,2516,2960,2960
295,LB292,Beta-D-Glucan Assay,Laboratory Investigation,12750,15000,15000
296,LB293,C1 Esterase inhibitor (Quantitative ),Laboratory Investigation,2040,2400,2400
297,LB294,CMV Quantitative (Viral load) Test,Laboratory Investigation,1955,2300,2300
298,LB295,"Double Marker (Beta-hCG,PAPP-A)",Laboratory Investigation,1700,2000,2000
299,LB296,"Quadruple test (AFP,HCG,UE3,Inhibin A)",Laboratory Investigation,2040,2400,2400
300,LB297,HBeAb (Hepatitis B envelope Antibody),Laboratory Investigation,306,360,360
301,LB298,HBeAg (Hepatitis B envelope Antigen),Laboratory Investigation,306,360,360
302,LB299,HIAA 24 Hours Urinary,Laboratory Investigation,1955,2300,2300
303,LB300,HIV Viral Load by PCR,Laboratory Investigation,4250,5000,5000
304,LB301,HSV 1 & 2 IgG,Laboratory Investigation,697,820,820
305,LB302,Hypersensitive Pneumonitis Panel,Laboratory Investigation,6120,7200,7200
306,LB303,IgG4,Laboratory Investigation,1700,2000,2000
307,LB304,Inhibin A,Laboratory Investigation,765,900,900
308,LB305,Inhibin B,Laboratory Investigation,1615,1900,1900
309,LB306,Scrub Typhus IgM,Laboratory Investigation,1360,1600,1600
310,LB307,Interferon Gamma Release Assay (IGRA),Laboratory Investigation,2550,3000,3000
311,LB308,KOH Mount,Laboratory Investigation,128,150,150
312,LB309,Serum AMA M2 (IFA Method),Laboratory Investigation,1700,2000,2000
313,LB310,Serum Gastrin,Laboratory Investigation,1020,1200,1200
314,LB311,Serum Haptoglobin Levels,Laboratory Investigation,850,1000,1000
315,LB312,Skin Prick Test for Allergy,Laboratory Investigation,1530,1800,1800
316,LB313,Myositis Profile (Up to 16 Antigens),Laboratory Investigation,6800,8000,8000
317,LB314,Paraneoplastic Panel,Laboratory Investigation,8500,10000,10000
318,LB315,TSH Receptor Antibody,Laboratory Investigation,1020,1200,1200
319,LB316,Anti-Nuclear Antibodies - IFA,Laboratory Investigation,1360,1600,1600
320,LB317,Autoimmune Liver Diseases Profile,Laboratory Investigation,4250,5000,5000
321,LB318,Citrate Urine 24 Hour,Laboratory Investigation,978,1150,1150
322,LB319,Comprehensive Allergy Panel,Laboratory Investigation,5950,7000,7000
323,LB320,Comprehensive Myeloma Protein Panel,Laboratory Investigation,5950,7000,7000
324,LB321,DCP (DES Gamma-Carboxy- Prothrombin),Laboratory Investigation,2848,3350,3350
325,LB322,Desmoglein (DSG) 1 And 3 Antibody,Laboratory Investigation,4590,5400,5400
326,LB323,Galactomannan,Laboratory Investigation,2644,3110,3110
327,LB324,SCL 70 Antibody,Laboratory Investigation,1428,1680,1680
328,LB325,Serum Chromogranin A,Laboratory Investigation,3230,3800,3800
329,LB326,SSA- Antibody Ro Serum Test,Laboratory Investigation,1233,1450,1450
330,LB327,SSB- Antibody La Serum Test,Laboratory Investigation,1233,1450,1450
331,LB328,Stool for Clostridium difficile Toxin,Laboratory Investigation,2414,2840,2840
332,LB329,TPHA,Laboratory Investigation,340,400,400
333,LB330,UGT1A1 Gene Analysis,Laboratory Investigation,5100,6000,6000
334,LB331,Urine For Myoglobin,Laboratory Investigation,468,550,550
335,LB332,Leptospira Ig M,Laboratory Investigation,850,1000,1000
336,LB333,Chikungunya Ig M,Laboratory Investigation,850,1000,1000
337,LB334,Weil Felix Agglutination Test,Laboratory Investigation,425,500,500
338,LB335,Continuous Glucose Monitoring for 2 Weeks,Laboratory Investigation,3400,4000,4000
